"a aquele", "para isso"
"desesperar", "abandonar a esperança, Desista da esperança, perder o coração"
"desesperar", "Sem esperança, porque parece não haver possibilidade de conforto ou sucesso"
"desespero", "um estado em que toda a esperança é perdida ou ausente"
"desfalecer", "desmaiar da fraqueza, sofrimento físico ou emocional devido à perda de suprimento sanguíneo para o cérebro"
"desfalecer", "não consciente, falta de consciência e capacidade de percepção sensorial como se estivesse dormindo ou morto"
"desfalecimento", "uma perda espontânea de consciência causada por sangue insuficiente no cérebro"
"desfavorável", "constituindo uma desvantagem"
"desfazer", "privar de certas características"
"desfigurar", "Adicione uma falha ou defeito em, tornar imperfeito ou defeituoso"
"desfiladeiro", "um barranco formado por um rio em uma área com pouca chuva"
"desfilar", "desgaste esfregando"
"desfile", "uma procissão cerimonial, incluindo pessoas que marcam"
"desforrar", "se vingar por um errado percebido"
"desfrutar", "Tire o prazer de entrar"
"desgarrar", "um animal que se desviou (especialmente um animal doméstico)"
"desgastar", "afetado pelo desgaste, danificado por uso longo"
"desgastar", "deteriorar-se através do uso ou estresse"
"desgaste", "deteriorar-se através do uso ou estresse"
"desgostar", "Dê um descontentamento a"
"desgostar", "uma emoção de grande tristeza associada à perda ou luto"
"desgostoso", "altamente ofensivo, aversão ou repulsa"
"desgraçadamente", "por má sorte"
"desgraçar", "(usado de conduta ou caráter) merecedor ou trazer desgraça ou vergonha"
"desgraçar", "Problemas desnecessários e imprevistos resultantes de um evento infeliz"
"desgracioso", "não elegante ou gracioso em expressão"
"desidratação", "o processo de extrair umidade"
"designação", "o ato de colocar uma pessoa em uma posição não eletiva"
"designar", "Selecione algo ou alguém para um propósito específico"
"desigual", "irregular ou desigual de qualidade, textura, etc."
"desigualdade", "dissimilaridade evidenciada por uma ausência de semelhança"
"desiludir", "livre da ilusão"
"desiludir", "não atender às esperanças ou expectativas de"
"desilusão", "liberação de falsas crenças ou ilusões"
"desimpedir", "aliviar de"
"desinêncer", "uma chegada ao fim de um período de contrato"
"desinfecção", "tratamento para destruir microorganismos nocivos"
"desintegração", "destruição total"
"desintegrar", "invadir partes ou componentes ou perder coesão ou unidade"
"desintoxicar", "Remova o veneno de"
"desistêncer", "uma declaração formal por escrito de renúncia"
"desistir", "pare de manter ou insistir, de idéias ou reivindicações"
"desjejum", "A primeira refeição do dia (geralmente pela manhã)"
"desleixar", "(de um líquido glutinoso, como tinta) não completamente seco e ligeiramente pegajoso ao toque"
"desleixo", "impulsões habituais"
"desligar", "não conectado a uma rede de computadores"
"desligar", "torne-se livre"
"deslizamento", "o ato de se mover suavemente ao longo de uma superfície enquanto permanece em contato com ele"
"deslizar", "mova-se obliquamente ou de lado, geralmente de maneira descontrolada"
"deslocamento", "o ato de mudar de localização de um lugar para outro"
"deslocar", "deixar fora de seu lugar, posição ou relacionamento habitual"
"deslumbrante", "brilhando intensamente"
"deslumbrar", "ter ou mostrar uma sensação de reverência, respeito, admiração e pavor misto"
"desmagnetização", "o processo de remoção de magnetização"
"desmagnetizar", "tornar não magnético, tirar as propriedades magnéticas (de)"
"desmaiar", "desmaiar da fraqueza, sofrimento físico ou emocional devido à perda de suprimento sanguíneo para o cérebro"
"desmaiar", "não consciente, falta de consciência e capacidade de percepção sensorial como se estivesse dormindo ou morto"
"desmaio", "uma perda momentânea de consciência"
"desmanchar", "decolar ou remover"
"desmantelar", "decolar ou remover"
"desmarcar", "Remova de uma lista"
"desmascarar", "revelar a verdadeira natureza de"
"desmatamento", "o estado de estar livre de árvores"
"desmazelar", "negligente de limpeza, especialmente em vestido e pessoa, habitualmente sujo e desleixado"
"desmembramentar", "a remoção dos membros, sendo cortado em pedaços"
"desmembrar", "Divida em pedaços"
"desmentir", "provar ser falso ou incorreto"
"desmobilização", "ato de mudar de uma base de guerra para uma base de paz, incluindo a dissolução ou descarga de tropas"
"desmobilizar", "aposentar-se do serviço militar"
"desmontar", "desmontar em suas peças constituintes"
"desmonte", "o ato de desmontar (um cavalo ou bicicleta etc.)"
"desmoralização", "destruindo a base moral para uma doutrina ou política"
"desmoralizar", "abaixar o ânimo de alguém, FAÇA-SE DESIVERAÇÃO"
"desmoronamento", "um evento natural causado por algo de repente caindo ou cedindo"
"desmoronar", "quebrar ou desmoronar em fragmentos"
"desnecessariamente", "sem nenhuma necessidade"
"desnecessário", "não é necessário"
"desnecessário", "repetição do mesmo sentido em palavras diferentes"
"desnivelar", "Nem ou uniforme ou uniforme, por exemplo em forma ou textura"
"desnudar", "se despi"
"desnutrição", "um estado de má nutrição, pode resultar de dieta insuficiente ou excessiva ou desequilibrada ou de incapacidade de absorver alimentos"
"desobedecer", "Recuse-se a acompanhar, recusar-se a seguir, ser desobediente"
"desobediência", "o fracasso em obedecer"
"desobrigar", "pago antecipadamente"
"desocupar", "deixe para trás vazio, sair de"
"desocupar", "vazio de pensamento ou conhecimento"
"desodorante", "Um higiene pessoal aplicado à pele para mascarar odores desagradáveis"
"desolação", "um evento (ou o resultado de um evento) que destrói completamente algo"
"desolar", "esmagado pela dor"
"desoner", "capaz de ser corrompido"
"desonestidade", "falta de honestidade, Atos de mentir ou trapacear ou roubar"
"desonrar", "falta de honra ou integridade"
"desonrar", "trazer vergonha ou desonra"
"desonroso", "enganoso ou fraudulento, disposto a trapacear ou fraudar ou enganar"
"desordeiro", "alguém que deliberadamente provocam problemas"
"desordenar", "preenchido ou espalhado com um acúmulo desordenado de objetos ou lixo"
"desorder", "um distúrbio da paz ou da ordem pública"
"desorganização", "a perturbação de um arranjo sistemático causando desordem e confusão"
"desorganizar", "falta de ordem ou arranjo metódico ou função"
"desorganizar", "fazer uma bagunça ou criar desordem em"
"desorientação", "Confusão (geralmente transitória) sobre onde você está e como proceder, incerteza quanto à direção"
"desorientar", "porque ser perdido ou desorientado"
"desossar", "Remova os ossos de"
"desovar", "A massa de ovos depositados por peixes ou anfíbios ou moluscos"
"desovar", "chamar"
"despachar", "causar ou ordenar a ser tomado, direcionado ou transmitido a outro lugar"
"despacho", "um relatório oficial (geralmente enviado com pressa)"
"despedaçar", "desmoronar"
"despeder", "o ato de partir educadamente"
"despedir", "encerrar o emprego de, descarregar de um escritório ou posição"
"despejar", "expelir de sua propriedade ou força para sair por um processo legal"
"despencar", "cair bruscamente"
"despensar", "Uma pequena despensa para armazenar alimentos ou vinhos"
"despentear", "desordem ou rumpo, desalinhar"
"desper", "Completamente despojado"
"desperceber", "não observado"
"desperdiçar", "Não acostumado a uma boa vantagem"
"desperdiçar", "Use ineficiente ou inadequado"
"desperdício", "atividade inútil ou sem lucro, usando ou gastando ou consumindo sem pensar ou descuidadamente"
"despersonalização", "Transtorno dissociativo emocional no qual há perda de contato com sua própria realidade pessoal acompanhada de sentimentos de irrealidade e estranheza"
"despertador", "um relógio que acorda um sono em algum momento predefinido"
"despertar", "Pare de dormir"
"despês", "Valores pagos por bens e serviços que podem ser dedutíveis atualmente (em oposição às despesas de capital)"
"despesa", "o ato de gastar dinheiro com bens ou serviços"
"despir", "(do olho ou orelha, por exemplo) sem o auxílio de um dispositivo ou instrumento óptico ou acústico"
"despir", "se despi"
"despojar", "se despi"
"despolarizar", "eliminar a polarização de"
"desportista", "uma pessoa treinada para competir em esportes"
"desportistar", "alguém que se envolve em esportes"
"desportivo", "relacionado ou interessado em esportes"
"despótico", "governado por ou característica de um déspota"
"despotismo", "um sistema político governado por um único indivíduo"
"déspoto", "um ditador cruel e opressivo"
"despovoar", "reduzir a população"
"desprender", "Dê ou emiti (também metaforicamente)"
"desprendimento", "A negação e rejeição de uma doutrina ou crença"
"despreocupar", "livre de problemas e preocupação e cuidado"
"desprezar", "rejeitar com desprezo"
"desprezível", "merecedor de desprezo ou desprezo"
"desprezor", "uma recusa em reconhecer alguém que você conhece"
"desprir", "não em um estado de sono, completamente consciente"
"desproporção", "falta de proporção, desequilíbrio entre as partes de algo"
"desproporcionar", "não proporcional"
"desqualificação", "inaptidão que impede você da participação"
"desrespeitoso", "exibindo falta de respeito, rude e desanimado"
"dessalinização", "a remoção de sal (especialmente da água do mar)"
"dessalinizar", "Retire o sal de"
"dessecar", "falta de vitalidade ou espírito, sem vida,-C.J.Rolo"
"destacamento", "uma pequena unidade de tropas de composição especial"
"destacar", "distinguido dos outros em excelência"
"destacar", "mova-se para o primeiro plano para tornar mais visível ou proeminente"
"destaque", "uma área de leveza em uma imagem"
"destemer", "disposto a se aventurar ou correr riscos"
"desterrar", "expulsar de um país"
"desterro", "o estado de ser banido ou ostracizado (excluído da sociedade por consentimento geral)"
"destilação", "O processo de purificar um líquido fervendo-o e condensando seus vapores"
"destilador", "Alguém que destilaria licores alcoólicos"
"destilar", "sofrer o processo de destilação"
"destilar", "um líquido purificado produzido por condensação a partir de um vapor durante a destilação, o produto da destilação"
"destilar", "uma planta e obras onde bebidas alcoólicas são feitas por destilação"
"destinação", "o ato de distribuir (doar em porções)"
'"destinar", "(geralmente seguido por `to '') governado pelo destino"'
"destinar", "projetar ou destinar"
"destinatário", "uma pessoa que recebe algo"
"destino", "o objetivo final pelo qual algo é feito"
"destituição", "um estado sem amigos ou dinheiro ou perspectivas"
"destituir", "completamente querendo ou faltando"
"destituir", "encerrar o emprego de, descarregar de um escritório ou posição"
"destratar", "tratar mal"
